operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PmMcuBootCostTime,PMDsnCostTime,PmMusicTime
noInfo,H09R3081H4F7,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026607998,B8:4D:43:FC:92:39,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 08:34:52.943466,2022-03-28 08:33:25.838618,44.503,27.889,7.476,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.909,4.496,5.264
noInfo,H09R3081H4F9,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026608006,B8:4D:43:FC:B8:A5,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 08:37:43.282942,2022-03-28 08:36:17.945098,43.67,27.389,7.791,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.896,4.055,5.212
noInfo,H09R3081H4F4,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026608008,B8:4D:43:FC:98:AE,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 08:39:42.101795,2022-03-28 08:38:16.574139,43.072,28.253,7.483,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.903,4.02,5.145
noInfo,H09R3081H4A5,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026608014,B8:4D:43:FC:BD:B3,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 08:42:54.408216,2022-03-28 08:41:29.005366,42.837,28.122,7.571,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.114,4.295,5.262
noInfo,H09R3081H4H4,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026608019,B8:4D:43:FC:B8:A4,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 08:46:37.033075,2022-03-28 08:45:10.833991,44.33,27.724,7.275,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.909,3.953,5.232
noInfo,H09R3081H4Z4,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026608024,B8:4D:43:D1:82:A1,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 08:49:35.150382,2022-03-28 08:48:09.267039,43.929,27.655,7.536,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.898,4.062,5.225
noInfo,H09R3081H3U9,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026608028,B8:4D:43:D1:82:72,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 08:51:35.254507,2022-03-28 08:50:09.131459,43.14,28.748,7.527,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.916,4.113,5.108
noInfo,H09R3081H3S6,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026608033,B8:4D:43:D1:6C:CD,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 08:54:43.487963,2022-03-28 08:53:17.872698,43.495,27.983,7.693,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.914,3.927,5.149
noInfo,H09R3081H3U1,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026608037,B8:4D:43:FC:A3:D0,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 08:57:05.536350,2022-03-28 08:55:38.923726,43.425,28.224,7.4,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.927,4.052,5.928
noInfo,H09R3081H3R7,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026608041,B8:4D:43:FC:99:C0,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 08:59:13.482949,2022-03-28 08:57:46.194637,44.32,29.09,7.52,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.972,3.953,4.932
noInfo,H09R3081H3R1,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026608046,B8:4D:43:FC:A9:F3,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 09:01:31.766595,2022-03-28 09:00:05.715600,44.025,27.265,7.394,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.888,4.563,5.216
noInfo,H09R3081H3R2,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026608050,B8:4D:43:D1:6C:7D,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-28 09:03:20.375312,2022-03-28 09:01:54.237361,44.605,27.773,7.449,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.923,3.811,5.009
