operator,deviceSN,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,J16Q3081Z4T2,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W018144678,3095871B7A08,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-19 09:47:23.298009,36.952,22.309,11.391,success,noInfo,12.912,1.098
noInfo,J16Q3081Z4T2,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W018144679,3095871B7A08,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-19 09:50:14.914049,43.964,22.073,3.709,success,noInfo,12.438,2.612,0.8
noInfo,J16Q3081Z4U3,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W018144680,3095871B7A32,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-19 09:53:18.340036,27.0,20.323,11.674,success,noInfo,12.25,2.524,1.131
noInfo,J16Q3081Z4Z0,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W018144681,3095871B7BC2,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-19 09:54:46.247045,37.957,22.28,3.693,success,noInfo,12.14,2.279,0.79
noInfo,J16Q3081Z5R1,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W018144682,3095871B7B1C,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-19 10:14:27.220436,37.787,23.255,11.766,success,noInfo,11.806,2.238,1.123
noInfo,J16Q3081Z5S0,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W018144683,3095871B7B79,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-19 11:40:19.019680,26.754,21.235,11.642,success,noInfo,11.573,2.191,1.125
noInfo,J16Q3081Z5R7,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W018144684,3095871B7B25,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-19 11:43:20.579123,25.938,20.351,11.74,success,noInfo,11.159,2.176,1.144
noInfo,J16Q3081Z5R2,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W018144685,3095871B7AAB,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-19 11:46:00.690648,38.703,22.797,11.56,success,noInfo,11.126,2.285,1.124
noInfo,J16Q3081Z5S2,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W018144686,3095871B7A01,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-19 11:48:13.210887,39.908,22.226,11.585,success,noInfo,11.069,2.263,1.099
noInfo,J16Q3081Z5S3,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W018144687,3095871B7C5B,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-19 11:50:37.283699,37.887,21.738,11.785,success,noInfo,10.536,2.25,1.13
noInfo,J16Q3081Z5R4,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W018144688,3095871B7B6F,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-19 11:53:30.968380,37.872,21.702,11.618,success,noInfo,10.636,2.28,1.129
